Step	Traning Cost	Test Accuracy
0	353195.88	-117.78303
10	24537.363	-313.4967
20	21698.854	188.0699
30	25537.812	267.83908
40	23389.148	463.45096
50	26299.334	-13.369058
60	22580.455	-19.50508
70	21200.258	42.40957
80	21329.105	-66.83745
90	21737.273	-58.84006
100	20425.498	-31.91999
110	18345.19	-49.445404
120	18381.432	35.3775
130	17977.494	73.44184
140	18266.148	-0.7633776
150	18233.56	-45.048676
160	21911.564	15.457723
170	19068.986	13.026098
